,정류장명
120,황제식품
125,신지동마을
126,양전마을
128,지암입구
194,하이삼거리
199,상삼마을
208,재실마을
213,매산교
214,대덕경로당
217,매산마을
220,원산정
233,봉계마을
241,하이리교
246,설경마을종점
249,지동마을
251,하이리
257,원안덕마을
262,탑선마을
263,장파마을
265,실로암의집
267,설경마을
271,미치마을
276,상망표
283,하망표
291,둔산라송아파트
292,코아루종점
293,백운암마을
295,황토나라
298,산업단지 한전
299,추동정미소
300,키스트전북분원
308,구억정미소
310,용교
313,하관전
314,용암
315,구억마을
317,마월리
318,관전마을
319,복고시기마을
320,목효마을
321,상관전
326,효천
333,대모
334,신교리
335,안덕신기마을
337,원의암마을
339,율곡
341,마치교
343,갈전
344,응암마을
345,묘동마을입구
355,용진주유소
358,금성자동차학원
363,원백여
382,서두입구
384,서두마을
385,쌍계마을
390,단지
397,수만마을
398,위봉산성
414,원화심마을
415,유상마을
416,성지동
417,약암마을
419,화정유료낚시터
421,양은마을
428,남악마을
432,혁신도시상가
435,갈동마을
441,왕궁온천
442,고려온천아파트
443,입석마을
444,앞멀
446,위봉폭포
447,위봉마을
448,오성리
449,송광성애원
450,지향마을
453,대곡
454,원세동
455,장승리종점입구
456,장승리종점
463,진기마을종점
468,망산마을
480,목련마을
483,이랑둥지
484,모래재휴게소
486,황조리마을
494,분토종점
495,하분토
496,죽절리마을안
497,상분토
499,대승리
503,중리
504,동상
505,묵계
506,원사봉
507,신사봉
508,연동
509,시평리
510,밤티마을
511,웃밤티
512,원앙골
513,대승리입구
514,솔바우농원
515,토종한봉꿀농장
522,봉산마을
523,월암리
524,죽산마을
525,용동
526,탄광
527,신복
528,문장마을
536,사치마을
545,신유강
546,산장마을
553,통정교
554,통샘
560,용화마을
561,은상
562,서정마을
565,양야리경로당
567,고산사입구
568,명석마을
569,사랑숲노인요양병원
570,양화교회
573,산림항공관리소익산지점
574,신하리
575,구정마을
576,창피마을
577,원구암마을
579,주동교
580,주동
589,남고사
606,남고사아파트입구
617,삼경사
622,오봉리
623,양석동
651,원성덕
666,오성풍류학교
678,고려온천아파트입구
680,원용암마을
682,원쌍정
